KECAMATAN,KELURAHAN,RT,JENIS_KB,AKHIR_PKB,POKOK_PKB,JUMLAH_KENDARAAN
PENAJAM,NIPAH-NIPAH,9,R,07/09/2025,68500,1
PENAJAM,PENAJAM,2,R,04/19/2025,173300,1
PENAJAM,NIPAH-NIPAH,9,R,07/09/2025,68500,1
PENAJAM,NIPAH-NIPAH,9,R,07/09/2025,68500,1
PENAJAM,NIPAH-NIPAH,9,R,07/08/2025,89000,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
BABULU,GUNUNG MAKMUR,6,R,07/12/2025,64000,1
PENAJAM,PENAJAM,19,R,04/19/2021,183750,1
PENAJAM,LAWE-LAWE,1,R,04/27/2023,199500,1
PENAJAM,SOTEK,13,R,04/27/2025,315000,1
PENAJAM,PENAJAM,2,R,04/28/2025,204800,1
PENAJAM,PETUNG,1,R,04/28/2025,224000,1
SEPAKU,PEMALUAN,1,R,04/28/2021,217350,1
PENAJAM,PENAJAM,6,R,04/28/2020,196000,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
SEPAKU,PEMALUAN,1,R,04/28/2021,212670,1
PENAJAM,GIRIMUKTI,6,R,04/28/2025,196000,1
BABULU,BABULU,15,R,04/28/2020,178500,1
WARU,BANGUN MULYA,1,R,04/28/2020,178500,1
PENAJAM,PETUNG,15,R,04/28/2024,158060,1
WARU,WARU,11,R,04/28/2024,225800,1
PENAJAM,PETUNG,4,R,04/28/2023,227500,1
SEPAKU,SUKARAJA,24,R,04/28/2024,250300,1
SEPAKU,BUKIT RAYA,10,R,04/28/2022,259875,1
PENAJAM,LAWE-LAWE,8,R,04/28/2021,228420,1
WARU,API-API,8,R,04/28/2023,369300,1
BABULU,BABULU DARAT,4,R,02/12/2021,87500,1
PENAJAM,GIRIPURWA,6,R,04/26/2025,152300,1
WARU,BANGUN MULYA,1,R,05/03/2025,285250,1
PENAJAM,RIKO,1,R,05/04/2021,181170,1
PENAJAM,PENAJAM,24,R,05/04/2021,166950,1
BABULU,SEBAKUNG JAYA,5,R,05/04/2024,197800,1
BABULU,GUNUNG MULIA,15,R,05/04/2025,204800,1
WARU,WARU,25,R,05/04/2020,290500,1
PENAJAM,GIRIMUKTI,2,R,05/08/2025,295800,1
PENAJAM,PENAJAM,5,R,05/07/2023,154000,1
BABULU,BABULU,3,R,05/18/2020,241500,1
WARU,WARU,5,R,05/10/2025,204800,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
BABULU,RAWA MULIA,6,R,05/10/2022,227500,1
PENAJAM,LAWE-LAWE,2,R,05/10/2024,225800,1
PENAJAM,PENAJAM,10,R,05/10/2025,224000,1
PENAJAM,TANJUNG TENGAH,3,R,05/10/2020,229300,1
WARU,WARU,10,R,05/10/2025,224000,1
BABULU,GUNUNG MAKMUR,10,R,05/10/2020,201300,1
PENAJAM,NENANG,5,R,05/10/2025,196000,1
PENAJAM,GUNUNG STELENG,3,R,12/16/2021,201600,1
PENAJAM,PENAJAM,5,R,05/10/2024,135480,1
PENAJAM,SALOLOANG,3,R,05/10/2024,225800,1
WARU,WARU,17,R,05/10/2020,229300,1
PENAJAM,PENAJAM,14,R,05/10/2023,227500,1
BABULU,GUNUNG MULIA,30,R,05/10/2024,225800,1
BABULU,GUNUNG INTAN,11,R,05/10/2020,229300,1
PENAJAM,PENAJAM,16,R,05/10/2025,224000,1
PENAJAM,PENAJAM,3,R,05/10/2025,224000,1
PENAJAM,BULUMINUNG,3,R,05/10/2021,206370,1
PENAJAM,PENAJAM,9,R,07/06/2025,89500,1
BABULU,BABULU DARAT,10,R,05/10/2022,278300,1
PENAJAM,SOTEK,11,R,05/10/2025,231000,1
PENAJAM,NIPAH-NIPAH,3,R,05/12/2025,224000,1
SEPAKU,MARIDAN,43,R,08/15/2024,81900,1
WARU,BANGUN MULYA,3,R,05/12/2023,227500,1
PENAJAM,GIRIMUKTI,15,R,05/12/2024,225750,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
BABULU,LABANGKA,4,R,05/12/2024,225800,1
BABULU,LABANGKA,4,R,05/12/2024,197800,1
BABULU,BABULU DARAT,14,R,05/12/2021,160650,1
BABULU,BABULU DARAT,10,R,05/12/2024,197800,1
BABULU,BABULU DARAT,4,R,05/12/2025,323750,1
BABULU,RINTIK,8,R,05/12/2020,290500,1
WARU,BANGUN MULYA,3,R,05/15/2023,290500,1
PENAJAM,PENAJAM,2,R,05/16/2025,190800,1
PENAJAM,NIPAH-NIPAH,9,R,05/20/2025,71500,1
SEPAKU,SUKARAJA,8,R,05/18/2021,228420,1
PENAJAM,SOTEK,12,R,05/18/2025,196000,1
SEPAKU,ARGO MULYO,3,R,05/18/2021,300870,1
PENAJAM,PETUNG,14,R,05/22/2023,183800,1
BABULU,RINTIK,2,R,07/25/2025,59500,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
BABULU,RINTIK,2,R,07/25/2025,59500,1
BABULU,BABULU LAUT,1,R,07/25/2025,69000,1
PENAJAM,NIPAH-NIPAH,9,R,04/30/2025,59500,1
PENAJAM,NENANG,13,R,07/02/2025,56500,1
BABULU,RINTIK,2,R,07/25/2025,59500,1
PENAJAM,PENAJAM,8,R,08/18/2025,57000,1
PENAJAM,PENAJAM,9,R,02/01/2025,38000,1
PENAJAM,NIPAH-NIPAH,1,R,08/06/2025,68500,1
PENAJAM,NIPAH-NIPAH,1,R,08/06/2025,68500,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
SEPAKU,BUKIT RAYA,1,R,05/09/2025,46000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
BABULU,RINTIK,2,R,07/25/2025,59500,1
PENAJAM,SOTEK,15,R,08/04/2025,61000,1
PENAJAM,GIRIPURWA,3,R,05/24/2024,213500,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,5,R,07/11/2025,62500,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PEJALA,2,R,12/30/2024,46000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,NIPAH-NIPAH,9,R,04/30/2025,86000,1
PENAJAM,NIPAH-NIPAH,9,R,06/09/2025,54000,1
PENAJAM,NIPAH-NIPAH,9,R,06/09/2025,54000,1
PENAJAM,NIPAH-NIPAH,9,R,06/04/2025,86000,1
PENAJAM,NIPAH-NIPAH,9,R,06/09/2025,54000,1
WARU,WARU,6,R,10/12/2025,155800,1
PENAJAM,PENAJAM,1,R,10/01/2025,60000,1
PENAJAM,NIPAH-NIPAH,9,R,05/20/2025,71500,1
PENAJAM,NIPAH-NIPAH,9,R,10/27/2025,70500,1
PENAJAM,NIPAH-NIPAH,9,R,12/27/2025,59000,1
BABULU,GUNUNG MAKMUR,14,R,07/05/2025,134500,1
PENAJAM,NIPAH-NIPAH,9,R,12/10/2025,54500,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,NIPAH-NIPAH,9,R,06/04/2025,86000,1
SEPAKU,KARANG JINAWI,4,R,09/06/2025,71000,1
PENAJAM,KAMPUNG BARU,1,R,06/27/2024,51600,1
PENAJAM,PENAJAM,1,R,12/27/2024,46500,1
PENAJAM,NIPAH-NIPAH,9,R,04/02/2025,86000,1
BABULU,BABULU DARAT,3,R,12/13/2025,53500,1
PENAJAM,NIPAH-NIPAH,9,R,09/05/2025,102000,1
PENAJAM,NIPAH-NIPAH,9,R,09/05/2025,102000,1
PENAJAM,PENAJAM,5,R,08/15/2025,56500,1
PENAJAM,NIPAH-NIPAH,9,R,01/20/2020,43000,1
PENAJAM,PENAJAM,3,R,04/16/2025,47000,1
PENAJAM,NIPAH-NIPAH,9,R,10/28/2025,54500,1
PENAJAM,PENAJAM,1,R,12/24/2022,120800,1
PENAJAM,NIPAH-NIPAH,9,R,12/10/2025,54500,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,NIPAH-NIPAH,9,R,04/30/2025,59500,1
PENAJAM,NIPAH-NIPAH,8,R,08/11/2025,57000,1
PENAJAM,NIPAH-NIPAH,9,R,10/29/2025,54500,1
SEPAKU,ARGO MULYO,1,R,05/24/2024,400800,1
PENAJAM,NIPAH-NIPAH,9,R,10/01/2025,128000,1
PENAJAM,NIPAH-NIPAH,9,R,10/01/2025,128000,1
PENAJAM,NIPAH-NIPAH,9,R,10/07/2025,65500,1
PENAJAM,NIPAH-NIPAH,9,R,10/07/2025,65500,1
PENAJAM,NIPAH-NIPAH,9,R,10/07/2025,65500,1
PENAJAM,NIPAH-NIPAH,9,R,10/07/2025,78000,1
PENAJAM,NIPAH-NIPAH,9,R,10/07/2025,106000,1
PENAJAM,NIPAH-NIPAH,9,R,10/13/2025,56500,1
PENAJAM,NIPAH-NIPAH,9,R,10/13/2025,56500,1
PENAJAM,NENANG,4,R,10/14/2025,96000,1
PENAJAM,PENAJAM,9,R,04/23/2025,49000,1
PENAJAM,NENANG,4,R,10/14/2025,96000,1
PENAJAM,PENAJAM,1,R,12/02/2025,53000,1
PENAJAM,PENAJAM,9,R,04/23/2025,40000,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,66500,1
PENAJAM,PENAJAM,5,R,10/17/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,10/29/2025,51500,1
PENAJAM,PENAJAM,9,R,05/12/2025,40000,1
PENAJAM,PENAJAM,9,R,04/10/2025,55000,1
PENAJAM,PENAJAM,9,R,04/10/2025,55000,1
SEPAKU,BUKIT RAYA,4,R,10/24/2025,139000,1
SEPAKU,BUKIT RAYA,4,R,10/24/2025,74500,1
PENAJAM,PENAJAM,9,R,05/12/2025,40000,1
SEPAKU,BUKIT RAYA,4,R,10/24/2025,79000,1
SEPAKU,BUKIT RAYA,4,R,10/24/2025,79000,1
PENAJAM,NIPAH-NIPAH,9,R,07/11/2025,71500,1
PENAJAM,NIPAH-NIPAH,9,R,10/29/2025,51500,1
PENAJAM,SALOLOANG,4,R,09/16/2025,72500,1
BABULU,RINTIK,2,R,10/15/2025,50000,1
PENAJAM,PENAJAM,1,R,08/26/2025,42000,1
PENAJAM,PENAJAM,1,R,08/26/2025,42000,1
BABULU,SUMBER SARI,6,R,10/29/2025,72000,1
PENAJAM,NIPAH-NIPAH,9,R,10/01/2025,71500,1
BABULU,BABULU DARAT,3,R,11/25/2025,88000,1
BABULU,RINTIK,2,R,10/15/2025,40500,1
SEPAKU,SEMOI DUA,4,R,11/07/2025,74500,1
SEPAKU,SEMOI DUA,4,R,11/07/2025,74500,1
SEPAKU,SEMOI DUA,4,R,11/07/2025,139000,1
BABULU,GUNUNG MULIA,5,R,11/11/2025,74000,1
BABULU,BABULU DARAT,5,R,11/11/2025,70500,1
BABULU,BABULU DARAT,5,R,11/11/2025,96000,1
BABULU,GUNUNG MULIA,5,R,11/11/2025,74000,1
BABULU,BABULU DARAT,5,R,11/11/2025,116500,1
PENAJAM,GIRIPURWA,1,R,11/12/2025,65500,1
PENAJAM,GIRIPURWA,1,R,11/12/2025,65500,1
PENAJAM,GIRIPURWA,1,R,11/12/2025,78000,1
PENAJAM,NIPAH-NIPAH,9,R,10/01/2025,71500,1
PENAJAM,NIPAH-NIPAH,9,R,11/14/2025,79000,1
PENAJAM,NIPAH-NIPAH,9,R,11/18/2025,0,1
PENAJAM,NIPAH-NIPAH,1,R,11/21/2025,79000,1
PENAJAM,NIPAH-NIPAH,1,R,11/21/2025,79000,1
PENAJAM,NIPAH-NIPAH,9,R,11/21/2025,79000,1
PENAJAM,NIPAH-NIPAH,9,R,11/21/2025,124000,1
PENAJAM,NIPAH-NIPAH,9,R,11/21/2025,124000,1
PENAJAM,GUNUNG STELENG,4,R,08/04/2025,217000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,100000,1
BABULU,RINTIK,2,R,11/22/2025,96000,1
PENAJAM,PENAJAM,9,R,11/22/2025,74000,1
PENAJAM,PENAJAM,9,R,11/22/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,74000,1
PENAJAM,NIPAH-NIPAH,9,R,11/22/2025,74000,1
PENAJAM,PENAJAM,1,R,07/11/2025,62500,1
BABULU,LABANGKA BARAT,7,R,11/27/2025,86000,1
PENAJAM,NIPAH-NIPAH,9,R,12/16/2025,86000,1
PENAJAM,NIPAH-NIPAH,9,R,12/29/2025,0,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,0,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,61000,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,61000,1
PENAJAM,NIPAH-NIPAH,9,R,12/06/2025,70000,1
PENAJAM,NIPAH-NIPAH,9,R,12/06/2025,70000,1
PENAJAM,NIPAH-NIPAH,9,R,12/06/2025,70500,1
PENAJAM,PENAJAM,9,R,08/26/2025,42000,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,NIPAH-NIPAH,9,R,12/30/2025,52500,1
PENAJAM,PENAJAM,1,R,11/20/2025,42000,1
PENAJAM,NIPAH-NIPAH,9,R,12/29/2025,86000,1
WARU,SESULU,3,R,10/12/2025,34500,1
