KECAMATAN,KELURAHAN,RT,JENIS_KB,AKHIR_PKB,POKOK_PKB,JUMLAH_KENDARAAN
BABULU,BABULU LAUT,15,R,12/11/2024,262500,1
BABULU,BABULU DARAT,1,R,12/11/2024,262500,1
PENAJAM,SIDOREJO,7,R,12/11/2025,262500,1
SEPAKU,BUKIT RAYA,4,R,12/11/2025,262500,1
PENAJAM,PETUNG,14,R,12/11/2024,262500,1
BABULU,LABANGKA BARAT,7,R,12/11/2025,208300,1
PENAJAM,PETUNG,21,R,12/11/2024,208300,1
PENAJAM,PETUNG,13,R,12/11/2025,208300,1
BABULU,BABULU DARAT,17,R,12/11/2025,208300,1
BABULU,BABULU LAUT,7,R,12/11/2024,217000,1
PENAJAM,PETUNG,12,R,12/11/2025,236300,1
BABULU,GUNUNG INTAN,18,R,12/11/2025,236300,1
SEPAKU,BUMI HARAPAN,2,R,12/11/2025,304500,1
PENAJAM,BULUMINUNG,4,R,12/11/2024,276500,1
PENAJAM,GIRIPURWA,8,R,12/11/2024,393800,1
PENAJAM,GIRIMUKTI,12,R,12/13/2025,262500,1
PENAJAM,SIDOREJO,7,R,12/13/2025,262500,1
PENAJAM,PENAJAM,7,R,12/13/2024,208300,1
BABULU,LABANGKA,2,R,12/13/2024,208300,1
BABULU,LABANGKA BARAT,9,R,12/13/2025,217000,1
PENAJAM,PENAJAM,5,R,12/13/2025,388500,1
SEPAKU,SEMOI DUA,15,R,12/13/2025,225750,1
PENAJAM,NIPAH-NIPAH,1,R,12/13/2024,320300,1
SEPAKU,TENGIN BARU,12,R,12/13/2024,250300,1
PENAJAM,PETUNG,15,R,12/13/2025,213500,1
PENAJAM,PETUNG,15,R,12/13/2025,213500,1
PENAJAM,PETUNG,15,R,12/13/2025,213500,1
PENAJAM,PETUNG,15,R,12/13/2025,213500,1
PENAJAM,PETUNG,15,R,12/13/2024,213500,1
PENAJAM,PETUNG,15,R,12/13/2025,213500,1
BABULU,RAWA MULIA,10,R,12/13/2025,232800,1
WARU,API-API,3,R,12/13/2025,218800,1
PENAJAM,RIKO,1,R,12/13/2025,379800,1
PENAJAM,JENEBORA,1,R,12/13/2025,392000,1
BABULU,LABANGKA BARAT,4,R,12/13/2025,392000,1
BABULU,LABANGKA BARAT,5,R,12/13/2024,392000,1
BABULU,BABULU DARAT,7,R,12/13/2025,392000,1
PENAJAM,GUNUNG STELENG,16,R,12/22/2025,350000,1
PENAJAM,BUKIT SUBUR,5,R,12/14/2024,208300,1
BABULU,BABULU DARAT,9,R,12/14/2025,236300,1
PENAJAM,NIPAH-NIPAH,4,R,12/14/2025,208300,1
SEPAKU,MARIDAN,3,R,12/14/2025,208300,1
PENAJAM,GIRIMUKTI,12,R,12/14/2025,355300,1
WARU,BANGUN MULYA,1,R,12/14/2025,224000,1
SEPAKU,TELEMOW,2,R,12/14/2025,213500,1
PENAJAM,SOTEK,12,R,12/14/2024,320300,1
BABULU,BABULU DARAT,18,R,12/14/2024,379800,1
PENAJAM,BULUMINUNG,6,R,12/14/2025,245000,1
WARU,WARU,11,R,12/14/2025,213500,1
PENAJAM,NIPAH-NIPAH,4,R,12/14/2024,213500,1
WARU,WARU,21,R,12/14/2025,266000,1
PENAJAM,GIRIMUKTI,5,R,12/14/2025,213500,1
PENAJAM,PETUNG,1,R,12/14/2025,225800,1
PENAJAM,SEPAN,2,R,12/14/2025,320300,1
PENAJAM,GIRIPURWA,3,R,12/14/2025,379800,1
PENAJAM,NENANG,9,R,12/14/2025,350000,1
BABULU,BABULU DARAT,3,R,12/14/2025,427000,1
BABULU,BABULU DARAT,5,R,12/14/2025,392000,1
PENAJAM,SOTEK,8,R,08/21/2025,166300,1
PENAJAM,PENAJAM,6,R,01/09/2025,379800,1
PENAJAM,SUNGAI PARIT,3,R,12/15/2025,320300,1
BABULU,LABANGKA,7,R,12/15/2024,245000,1
SEPAKU,PEMALUAN,2,R,12/15/2024,320300,1
PENAJAM,PETUNG,10,R,12/15/2025,260800,1
WARU,WARU,5,R,12/15/2025,218800,1
PENAJAM,SOTEK,12,R,12/15/2025,350000,1
WARU,WARU,28,R,12/15/2025,350000,1
SEPAKU,ARGO MULYO,10,R,12/15/2025,320300,1
PENAJAM,TANJUNG TENGAH,6,R,12/15/2025,320300,1
PENAJAM,GIRIMUKTI,4,R,12/15/2024,371000,1
BABULU,LABANGKA,11,R,12/18/2024,208300,1
WARU,API-API,3,R,12/18/2025,208300,1
SEPAKU,SEPAKU,9,R,12/18/2024,262500,1
SEPAKU,SUKO MULYO,4,R,12/18/2025,262500,1
WARU,API-API,5,R,12/18/2024,203000,1
PENAJAM,BULUMINUNG,2,R,12/18/2025,208300,1
PENAJAM,SUNGAI PARIT,3,R,12/18/2025,208300,1
BABULU,SRI RAHARJA,8,R,12/18/2025,274800,1
PENAJAM,SOTEK,16,R,12/18/2024,393800,1
PENAJAM,NENANG,13,R,12/18/2025,203000,1
SEPAKU,MENTAWIR,3,R,12/18/2025,203000,1
PENAJAM,GIRIMUKTI,17,R,12/18/2024,262500,1
PENAJAM,GIRIMUKTI,13,R,12/18/2025,262500,1
PENAJAM,GIRIMUKTI,10,R,12/18/2025,274750,1
PENAJAM,SOTEK,1,R,12/18/2024,203000,1
PENAJAM,NENANG,10,R,12/18/2024,262500,1
PENAJAM,SOTEK,1,R,12/18/2024,203000,1
PENAJAM,NENANG,8,R,12/18/2025,203000,1
PENAJAM,JENEBORA,3,R,12/19/2024,262500,1
PENAJAM,NENANG,7,R,12/19/2024,208300,1
PENAJAM,BULUMINUNG,1,R,12/19/2024,262500,1
WARU,API-API,1,R,12/19/2025,350000,1
WARU,BANGUN MULYA,14,R,12/19/2025,269500,1
BABULU,GUNUNG MULIA,9,R,12/19/2025,246800,1
PENAJAM,SALOLOANG,4,R,12/19/2025,379800,1
BABULU,BABULU DARAT,5,R,12/19/2025,392000,1
PENAJAM,GUNUNG STELENG,2,R,12/19/2025,234500,1
BABULU,SUMBER SARI,1,R,12/19/2025,379800,1
PENAJAM,NIPAH-NIPAH,4,R,12/19/2025,218800,1
PENAJAM,PENAJAM,9,R,12/19/2025,379800,1
PENAJAM,NIPAH-NIPAH,1,R,12/19/2024,234500,1
SEPAKU,BUKIT RAYA,9,R,12/19/2025,320300,1
PENAJAM,GIRIMUKTI,15,R,12/19/2025,427000,1
PENAJAM,BULUMINUNG,2,R,12/19/2025,225800,1
PENAJAM,LAWE-LAWE,2,R,12/19/2025,245000,1
PENAJAM,GIRIMUKTI,7,R,12/19/2025,355250,1
PENAJAM,SOTEK,8,R,12/19/2024,392000,1
SEPAKU,SEPAKU,5,R,12/19/2025,320300,1
BABULU,BABULU DARAT,9,R,12/19/2025,218800,1
PENAJAM,PETUNG,13,R,12/20/2024,0,1
PENAJAM,PENAJAM,6,R,12/20/2024,262500,1
SEPAKU,SUKARAJA,14,R,12/20/2025,262500,1
WARU,WARU,3,R,12/20/2025,208300,1
SEPAKU,BUMI HARAPAN,1,R,12/20/2025,217000,1
PENAJAM,NENANG,10,R,12/20/2025,203000,1
BABULU,SRI RAHARJA,1,R,12/20/2025,203000,1
BABULU,LABANGKA,4,R,12/20/2025,208300,1
PENAJAM,SEPAN,3,R,12/20/2025,274800,1
PENAJAM,BULUMINUNG,4,R,12/20/2024,463800,1
PENAJAM,GIRIMUKTI,17,R,12/21/2025,218800,1
PENAJAM,GIRIMUKTI,4,R,12/21/2025,225800,1
BABULU,LABANGKA,5,R,12/21/2025,287000,1
PENAJAM,RIKO,1,R,12/21/2024,379800,1
PENAJAM,SIDOREJO,5,R,12/21/2025,379800,1
PENAJAM,PETUNG,14,R,12/21/2024,371000,1
PENAJAM,GIRIMUKTI,16,R,12/21/2025,392000,1
PENAJAM,BULUMINUNG,2,R,12/21/2025,392000,1
SEPAKU,BUMI HARAPAN,4,R,08/19/2025,154000,1
WARU,API-API,2,R,02/07/2025,71400,1
BABULU,LABANGKA,5,R,12/22/2024,675500,1
WARU,SESULU,3,R,12/22/2024,537300,1
PENAJAM,PETUNG,7,R,12/22/2025,379800,1
PENAJAM,PENAJAM,21,R,12/22/2024,350000,1
WARU,BANGUN MULYA,3,R,12/22/2024,224000,1
WARU,SESULU,4,R,12/22/2025,393800,1
PENAJAM,BULUMINUNG,6,R,12/22/2024,217000,1
BABULU,GUNUNG INTAN,12,R,12/22/2025,262500,1
PENAJAM,PETUNG,22,R,12/22/2024,304500,1
PENAJAM,RIKO,4,R,12/22/2024,248500,1
SEPAKU,SEPAKU,1,R,12/22/2024,217000,1
BABULU,GUNUNG MULIA,5,R,12/22/2024,208300,1
BABULU,GUNUNG MULIA,9,R,12/22/2025,208300,1
PENAJAM,SIDOREJO,4,R,12/22/2025,203000,1
BABULU,LABANGKA BARAT,8,R,12/22/2025,262500,1
BABULU,RINTIK,2,R,12/22/2024,236300,1
PENAJAM,NENANG,5,R,12/22/2025,262500,1
BABULU,LABANGKA BARAT,4,R,12/22/2025,808500,1
SEPAKU,SUKARAJA,12,R,12/22/2024,276500,1
WARU,BANGUN MULYA,9,R,12/22/2025,276500,1
SEPAKU,PEMALUAN,2,R,12/22/2025,208300,1
SEPAKU,ARGO MULYO,9,R,12/22/2025,248500,1
SEPAKU,BINUANG,5,R,12/22/2024,217000,1
SEPAKU,MARIDAN,7,R,12/22/2024,262500,1
SEPAKU,KARANG JINAWI,2,R,12/22/2024,386800,1
SEPAKU,TENGIN BARU,18,R,12/22/2025,262500,1
BABULU,SEBAKUNG JAYA,13,R,12/22/2025,414800,1
WARU,WARU,2,R,12/22/2024,208300,1
PENAJAM,PENAJAM,20,R,12/22/2024,208300,1
SEPAKU,TENGIN BARU,2,R,12/22/2024,208300,1
BABULU,BABULU LAUT,6,R,12/22/2024,208300,1
BABULU,LABANGKA,12,R,12/22/2025,208300,1
PENAJAM,PETUNG,17,R,12/22/2025,208300,1
BABULU,SEBAKUNG JAYA,5,R,12/22/2025,208300,1
PENAJAM,PANTAI LANGO,3,R,12/22/2024,208300,1
SEPAKU,TENGIN BARU,14,R,12/22/2024,208300,1
PENAJAM,GUNUNG STELENG,15,R,12/22/2025,208300,1
SEPAKU,BUKIT RAYA,13,R,12/22/2025,208300,1
PENAJAM,RIKO,5,R,12/22/2025,217000,1
PENAJAM,NIPAH-NIPAH,4,R,12/22/2025,217000,1
SEPAKU,ARGO MULYO,22,R,12/22/2025,217000,1
BABULU,BABULU DARAT,2,R,12/22/2024,217000,1
PENAJAM,SEPAN,1,R,12/22/2024,236300,1
BABULU,GUNUNG INTAN,10,R,12/22/2025,248500,1
PENAJAM,GUNUNG STELENG,14,R,12/22/2025,262500,1
SEPAKU,BUKIT RAYA,12,R,12/22/2024,262500,1
PENAJAM,NIPAH-NIPAH,6,R,12/22/2025,262500,1
SEPAKU,BUMI HARAPAN,4,R,12/22/2025,262500,1
PENAJAM,PENAJAM,2,R,12/22/2024,262500,1
PENAJAM,PENAJAM,13,R,12/22/2025,262500,1
SEPAKU,BUKIT RAYA,1,R,12/22/2025,262500,1
SEPAKU,BUKIT RAYA,1,R,12/22/2024,262500,1
SEPAKU,TENGIN BARU,7,R,12/22/2025,276500,1
PENAJAM,GUNUNG STELENG,6,R,12/22/2024,274800,1
PENAJAM,GIRIMUKTI,4,R,12/22/2025,304500,1
PENAJAM,SIDOREJO,4,R,12/22/2024,304500,1
WARU,WARU,5,R,12/22/2025,414800,1
PENAJAM,PENAJAM,28,R,12/22/2025,463800,1
PENAJAM,SEPAN,5,R,12/22/2025,208250,1
WARU,WARU,27,R,12/22/2024,208300,1
PENAJAM,GUNUNG STELENG,7,R,12/22/2025,208300,1
PENAJAM,PETUNG,7,R,12/22/2024,208300,1
PENAJAM,GUNUNG STELENG,6,R,12/22/2025,217000,1
PENAJAM,PENAJAM,24,R,12/22/2024,217000,1
SEPAKU,KARANG JINAWI,3,R,12/22/2024,217000,1
SEPAKU,SUKARAJA,20,R,12/22/2025,217000,1
WARU,WARU,24,R,12/22/2025,217000,1
PENAJAM,PENAJAM,24,R,12/22/2024,262500,1
BABULU,LABANGKA,1,R,12/22/2025,262500,1
BABULU,BABULU DARAT,16,R,12/22/2025,262500,1
PENAJAM,NENANG,11,R,12/22/2024,262500,1
PENAJAM,PETUNG,18,R,12/22/2025,262500,1
PENAJAM,KAMPUNG BARU,2,R,12/22/2025,262500,1
PENAJAM,NIPAH-NIPAH,6,R,12/22/2024,262500,1
SEPAKU,SEPAKU,3,R,12/22/2025,262500,1
PENAJAM,GUNUNG STELENG,10,R,12/22/2024,262500,1
BABULU,BABULU DARAT,13,R,12/22/2024,262500,1
SEPAKU,WONOSARI,9,R,12/22/2025,262500,1
SEPAKU,TELEMOW,10,R,12/22/2025,217000,1
SEPAKU,SEMOI DUA,11,R,12/22/2025,236300,1
SEPAKU,ARGO MULYO,1,R,12/22/2025,274800,1
BABULU,BABULU LAUT,17,R,12/22/2025,413000,1
SEPAKU,SUKO MULYO,12,R,12/22/2025,463800,1
PENAJAM,JENEBORA,1,R,12/22/2024,274800,1
PENAJAM,PETUNG,11,R,12/22/2025,304500,1
SEPAKU,SEMOI DUA,13,R,12/22/2025,393750,1
WARU,WARU,19,R,12/22/2025,203000,1
PENAJAM,GIRIPURWA,7,R,12/22/2025,203000,1
SEPAKU,PEMALUAN,5,R,12/22/2024,208300,1
PENAJAM,SIDOREJO,6,R,12/22/2024,208300,1
WARU,SESULU,8,R,12/22/2025,208300,1
PENAJAM,SIDOREJO,6,R,12/22/2025,208300,1
SEPAKU,ARGO MULYO,6,R,12/22/2025,208300,1
PENAJAM,SEPAN,1,R,12/22/2025,208300,1
SEPAKU,BINUANG,1,R,12/22/2025,208300,1
SEPAKU,MARIDAN,10,R,12/22/2025,208300,1
PENAJAM,PETUNG,7,R,12/22/2024,208300,1
PENAJAM,BULUMINUNG,6,R,12/22/2024,208300,1
PENAJAM,PETUNG,11,R,12/22/2025,208300,1
PENAJAM,RIKO,6,R,12/22/2025,217000,1
SEPAKU,BINUANG,9,R,12/22/2025,217000,1
WARU,WARU,18,R,12/22/2025,217000,1
PENAJAM,TANJUNG TENGAH,8,R,12/22/2025,217000,1
WARU,API-API,3,R,12/22/2024,217000,1
BABULU,GUNUNG MAKMUR,15,R,12/22/2025,248500,1
SEPAKU,MARIDAN,2,R,12/22/2024,248500,1
PENAJAM,SOTEK,16,R,12/22/2025,255500,1
WARU,WARU,13,R,12/22/2024,262500,1
SEPAKU,SUKO MULYO,1,R,12/22/2025,262500,1
SEPAKU,SUKARAJA,18,R,12/22/2024,262500,1
SEPAKU,BUKIT RAYA,9,R,12/22/2025,262500,1
SEPAKU,SEMOI DUA,8,R,12/22/2024,262500,1
WARU,API-API,5,R,12/22/2025,262500,1
BABULU,BABULU DARAT,26,R,12/22/2025,262500,1
PENAJAM,SOTEK,1,R,12/22/2025,262500,1
SEPAKU,ARGO MULYO,2,R,12/22/2025,262500,1
BABULU,GUNUNG MAKMUR,6,R,12/22/2025,274800,1
SEPAKU,KARANG JINAWI,1,R,12/22/2025,274750,1
SEPAKU,ARGO MULYO,10,R,12/22/2024,274800,1
SEPAKU,SEPAKU,5,R,12/22/2025,274800,1
SEPAKU,TENGIN BARU,17,R,12/22/2024,274800,1
PENAJAM,GIRIMUKTI,14,R,12/22/2025,274800,1
BABULU,GUNUNG INTAN,4,R,12/22/2025,274800,1
SEPAKU,WONOSARI,5,R,12/22/2025,274800,1
PENAJAM,PETUNG,1,R,12/22/2025,304500,1
PENAJAM,PETUNG,18,R,12/22/2025,402500,1
PENAJAM,SIDOREJO,2,R,12/22/2024,463800,1
SEPAKU,PEMALUAN,6,R,12/22/2024,463800,1
WARU,SESULU,7,R,12/22/2025,463800,1
WARU,BANGUN MULYA,10,R,12/22/2024,463800,1
WARU,WARU,22,R,12/22/2025,203000,1
PENAJAM,BULUMINUNG,4,R,12/22/2024,208300,1
PENAJAM,LAWE-LAWE,8,R,12/22/2025,208300,1
PENAJAM,GIRIMUKTI,14,R,12/22/2025,208300,1
WARU,BANGUN MULYA,7,R,12/22/2024,208300,1
SEPAKU,SUKARAJA,3,R,12/22/2025,208300,1
PENAJAM,GIRIMUKTI,7,R,12/22/2025,208300,1
PENAJAM,SEPAN,1,R,12/22/2024,208300,1
PENAJAM,PETUNG,15,R,12/22/2024,217000,1
SEPAKU,TELEMOW,7,R,12/22/2024,217000,1
SEPAKU,SUKARAJA,12,R,12/22/2025,217000,1
WARU,WARU,4,R,12/22/2024,217000,1
SEPAKU,BUKIT RAYA,13,R,12/22/2024,217000,1
PENAJAM,BULUMINUNG,4,R,12/22/2025,217000,1
WARU,SESULU,11,R,12/22/2025,236300,1
SEPAKU,SUKARAJA,6,R,12/22/2025,262500,1
PENAJAM,SESUMPU,3,R,12/22/2025,262500,1
BABULU,SUMBER SARI,1,R,12/22/2025,262500,1
BABULU,GUNUNG MAKMUR,5,R,12/22/2024,274800,1
SEPAKU,WONOSARI,7,R,12/22/2025,304500,1
SEPAKU,SUKARAJA,5,R,12/22/2025,393800,1
BABULU,LABANGKA BARAT,9,R,12/22/2025,414800,1
BABULU,BABULU DARAT,25,R,12/22/2025,217000,1
BABULU,GUNUNG MULIA,6,R,12/22/2025,255500,1
BABULU,LABANGKA BARAT,10,R,12/22/2024,208300,1
BABULU,LABANGKA BARAT,9,R,12/22/2025,208300,1
BABULU,RINTIK,3,R,12/22/2025,208300,1
PENAJAM,NIPAH-NIPAH,1,R,12/22/2025,236300,1
SEPAKU,BINUANG,3,R,12/23/2025,224000,1
SEPAKU,MARIDAN,3,R,12/23/2025,388500,1
PENAJAM,PENAJAM,1,R,12/23/2025,213500,1
PENAJAM,GIRIMUKTI,4,R,12/23/2025,392000,1
PENAJAM,SALOLOANG,4,R,12/23/2025,218800,1
PENAJAM,SALOLOANG,6,R,12/23/2024,218800,1
PENAJAM,RIKO,6,R,12/23/2025,234500,1
PENAJAM,SUNGAI PARIT,7,R,12/23/2024,350000,1
BABULU,SRI RAHARJA,5,R,12/23/2025,213500,1
SEPAKU,PEMALUAN,2,R,12/23/2025,320300,1
SEPAKU,BINUANG,8,R,12/23/2025,350000,1
SEPAKU,MARIDAN,15,R,12/23/2025,350000,1
PENAJAM,PETUNG,10,R,12/28/2024,262500,1
BABULU,LABANGKA BARAT,8,R,12/28/2025,262500,1
PENAJAM,SUNGAI PARIT,2,R,12/28/2025,208300,1
PENAJAM,GUNUNG STELENG,15,R,12/28/2025,217000,1
PENAJAM,PANTAI LANGO,3,R,12/28/2025,217000,1
BABULU,GUNUNG INTAN,13,R,12/28/2025,217000,1
PENAJAM,PENAJAM,14,R,12/28/2024,0,1
PENAJAM,GIRIPURWA,9,R,12/28/2025,217000,1
PENAJAM,SIDOREJO,7,R,12/28/2024,248500,1
PENAJAM,GUNUNG STELENG,10,R,12/28/2025,304500,1
BABULU,GUNUNG INTAN,2,R,12/28/2025,274750,1
BABULU,BABULU DARAT,8,R,12/28/2024,371000,1
PENAJAM,PEJALA,5,R,12/28/2025,213500,1
PENAJAM,NIPAH-NIPAH,6,R,12/28/2025,246800,1
PENAJAM,RIKO,1,R,12/28/2024,269500,1
PENAJAM,PENAJAM,26,R,12/28/2025,269500,1
BABULU,SEBAKUNG JAYA,3,R,12/28/2024,245000,1
SEPAKU,SUKARAJA,13,R,12/28/2025,320300,1
PENAJAM,PENAJAM,14,R,12/28/2024,320300,1
PENAJAM,PANTAI LANGO,5,R,12/28/2024,350000,1
PENAJAM,GUNUNG STELENG,10,R,12/28/2025,350000,1
PENAJAM,SUNGAI PARIT,7,R,12/28/2025,350000,1
BABULU,BABULU DARAT,28,R,12/28/2024,388500,1
WARU,BANGUN MULYA,2,R,12/28/2025,379800,1
WARU,API-API,3,R,12/28/2025,379750,1
PENAJAM,NENANG,10,R,12/28/2025,392000,1
PENAJAM,PETUNG,1,R,12/28/2024,392000,1
PENAJAM,PENAJAM,4,R,12/28/2024,392000,1
BABULU,GUNUNG INTAN,8,R,12/28/2025,392000,1
PENAJAM,GIRIPURWA,7,R,12/28/2025,392000,1
PENAJAM,BULUMINUNG,1,R,12/28/2024,392000,1
PENAJAM,PETUNG,8,R,03/25/2025,28380,1
PENAJAM,PENAJAM,11,R,01/02/2025,274800,1
PENAJAM,PENAJAM,1,R,01/02/2025,208300,1
SEPAKU,MARIDAN,1,R,01/02/2025,208300,1
SEPAKU,ARGOMULYO,22,R,01/02/2025,248500,1
PENAJAM,BULUMINUNG,3,R,01/02/2025,217000,1
PENAJAM,PENAJAM,23,R,01/02/2025,262500,1
BABULU,SEBAKUNG JAYA,9,R,01/02/2025,262500,1
PENAJAM,NENANG,16,R,01/02/2025,203000,1
PENAJAM,SOTEK,12,R,01/02/2025,262500,1
PENAJAM,PENAJAM,1,R,01/02/2025,318500,1
PENAJAM,GIRIPURWA,8,R,01/02/2025,248500,1
PENAJAM,SIDOREJO,8,R,01/03/2025,217000,1
PENAJAM,GIRIMUKTI,15,R,01/03/2025,236300,1
SEPAKU,MENTAWIR,2,R,01/03/2025,274800,1
PENAJAM,RIKO,1,R,01/03/2025,379800,1
WARU,SESULU,1,R,01/03/2025,388500,1
WARU,SESULU,1,R,01/03/2025,224000,1
PENAJAM,PENAJAM,19,R,01/03/2025,392000,1
BABULU,GUNUNG INTAN,8,R,01/03/2025,392000,1
SEPAKU,SUKARAJA,9,R,01/03/2025,0,1
PENAJAM,RIKO,2,R,01/03/2025,379800,1
PENAJAM,GUNUNG STELENG,7,R,01/03/2025,218800,1
PENAJAM,SALOLOANG,6,R,01/03/2025,350000,1
PENAJAM,GERSIK,13,R,01/03/2025,350000,1
SEPAKU,ARGOMULYO,22,R,01/03/2025,245000,1
SEPAKU,TENGIN BARU,5,R,01/03/2025,320300,1
PENAJAM,NENANG,4,R,01/03/2025,392000,1
SEPAKU,ARGOMULYO,16,R,01/03/2025,213500,1
WARU,WARU,2,R,01/03/2025,392000,1
PENAJAM,SIDOREJO,6,R,01/03/2025,427000,1
WARU,WARU,25,R,01/03/2025,392000,1
PENAJAM,PANTAI LANGO,2,R,01/03/2025,379800,1
WARU,SESULU,9,R,01/03/2025,320300,1
BABULU,SUMBER SARI,11,R,01/03/2025,329000,1
SEPAKU,TELEMOW,9,R,01/04/2025,320300,1
BABULU,RAWA MULIA,1,R,01/04/2025,320300,1
PENAJAM,SOTEK,7,R,01/04/2025,232800,1
SEPAKU,PEMALUAN,1,R,01/04/2025,320300,1
PENAJAM,SOTEK,8,R,01/04/2025,350000,1
SEPAKU,BINUANG,8,R,01/04/2025,350000,1
PENAJAM,SOTEK,12,R,01/05/2025,208300,1
PENAJAM,GIRIMUKTI,1,R,01/05/2025,274800,1
SEPAKU,TENGIN BARU,17,R,01/05/2025,274800,1
BABULU,BABULU DARAT,8,R,01/14/2025,189000,1
BABULU,BABULU DARAT,8,R,01/06/2025,0,1
PENAJAM,NIPAH-NIPAH,6,R,01/06/2025,350000,1
BABULU,BABULU DARAT,9,R,01/06/2025,427000,1
SEPAKU,SEMOI DUA,1,R,01/06/2025,350000,1
PENAJAM,PENAJAM,30,R,01/06/2025,350000,1
PENAJAM,SOTEK,8,R,01/06/2025,427000,1
SEPAKU,BUKIT RAYA,2,R,01/06/2025,392000,1
BABULU,LABANGKA  ,9,R,01/06/2025,379800,1
PENAJAM,SOTEK,12,R,01/06/2025,379800,1
PENAJAM,NENANG,10,R,01/06/2025,0,1
BABULU,GUNUNG MULIA,2,R,01/06/2025,392000,1
PENAJAM,SALOLOANG,8,R,01/06/2025,355300,1
BABULU,SRI RAHARJA,9,R,01/08/2025,274800,1
PENAJAM,NIPAH-NIPAH,1,R,01/08/2025,413000,1
BABULU,SEBAKUNG JAYA,12,R,01/08/2025,308000,1
BABULU,LABANGKA BARAT,5,R,01/08/2025,308000,1
BABULU,BABULU LAUT,18,R,01/08/2025,308000,1
BABULU,BABULU DARAT,9,R,09/24/2024,110300,1
BABULU,SUMBER SARI,9,R,01/09/2025,217000,1
SEPAKU,SEPAKU,9,R,01/09/2025,236300,1
WARU,WARU,2,R,01/09/2025,203000,1
SEPAKU,TENGIN BARU,12,R,01/09/2025,203000,1
PENAJAM,SOTEK,9,R,01/09/2025,208300,1
SEPAKU,BUKIT RAYA,4,R,01/09/2025,217000,1
SEPAKU,ARGOMULYO,13,R,01/09/2025,248500,1
PENAJAM,PETUNG,21,R,01/09/2025,262500,1
PENAJAM,SALOLOANG,4,R,01/09/2025,274800,1
SEPAKU,SUKOMULYO,10,R,01/09/2025,274800,1
BABULU,GUNUNG INTAN,8,R,01/09/2025,274800,1
PENAJAM,GERSIK,4,R,01/09/2025,463800,1
PENAJAM,GUNUNG STELENG,9,R,01/09/2025,638800,1
PENAJAM,SUNGAI PARIT,2,R,01/09/2025,379800,1
PENAJAM,SIDOREJO,7,R,01/09/2025,248500,1
PENAJAM,GUNUNG STELENG,9,R,01/09/2025,248500,1
BABULU,RINTIK,2,R,01/09/2025,217000,1
PENAJAM,SEPAN,6,R,01/09/2025,262500,1
SEPAKU,SUKARAJA,11,R,01/09/2025,262500,1
PENAJAM,SOTEK,16,R,01/09/2025,318500,1
WARU,WARU,21,R,01/09/2025,262500,1
SEPAKU,SEMOI DUA,18,R,01/09/2025,274800,1
PENAJAM,PENAJAM,13,R,01/09/2025,203000,1
SEPAKU,BUMI HARAPAN,1,R,01/09/2025,203000,1
PENAJAM,PENAJAM,11,R,01/09/2025,208300,1
WARU,API-API,1,R,01/09/2025,208300,1
BABULU,BABULU DARAT,19,R,01/09/2025,208300,1
WARU,WARU,21,R,01/09/2025,208300,1
PENAJAM,NENANG,6,R,01/09/2025,208300,1
SEPAKU,BUMI HARAPAN,4,R,01/09/2025,208300,1
SEPAKU,KARANG JINAWI,5,R,01/09/2025,217000,1
PENAJAM,PENAJAM,2,R,01/09/2025,217000,1
SEPAKU,TELEMOW,11,R,01/09/2025,217000,1
PENAJAM,NIPAH-NIPAH,4,R,01/09/2025,217000,1
SEPAKU,BUMI HARAPAN,7,R,01/09/2025,217000,1
SEPAKU,KARANG JINAWI,1,R,01/09/2025,217000,1
WARU,WARU,2,R,01/09/2025,217000,1
SEPAKU,BUMI HARAPAN,9,R,01/09/2025,217000,1
BABULU,SRI RAHARJA,6,R,01/09/2025,236300,1
PENAJAM,NIPAH-NIPAH,4,R,01/09/2025,248500,1
BABULU,BABULU DARAT,15,R,01/09/2025,262500,1
PENAJAM,PENAJAM,20,R,01/09/2025,262500,1
SEPAKU,SUKARAJA,16,R,01/09/2025,262500,1
BABULU,BABULU DARAT,28,R,01/09/2025,304500,1
SEPAKU,SUKARAJA,1,R,01/09/2025,402500,1
PENAJAM,SUNGAI PARIT,6,R,01/09/2025,414800,1
WARU,BANGUN MULYA,11,R,01/09/2025,463800,1
SEPAKU,MARIDAN,15,R,01/09/2025,208300,1
BABULU,GUNUNG MAKMUR,8,R,01/09/2025,208300,1
PENAJAM,GUNUNG STELENG,4,R,01/09/2025,208300,1
SEPAKU,BINUANG,9,R,01/09/2025,217000,1
BABULU,BABULU LAUT,3,R,01/09/2025,262500,1
SEPAKU,SUKOMULYO,10,R,01/09/2025,262500,1
PENAJAM,NENANG,14,R,01/09/2025,262500,1
PENAJAM,GUNUNG STELENG,15,R,01/09/2025,262500,1
PENAJAM,SOTEK,13,R,01/11/2025,463800,1
PENAJAM,SOTEK,2,R,01/11/2025,262500,1
PENAJAM,PENAJAM,18,R,01/11/2025,208300,1
BABULU,RINTIK,5,R,01/11/2025,208300,1
SEPAKU,WONOSARI,4,R,01/11/2025,208300,1
PENAJAM,PENAJAM,26,R,01/11/2025,203000,1
PENAJAM,PENAJAM,26,R,01/11/2025,203000,1
PENAJAM,PENAJAM,26,R,01/11/2025,203000,1
SEPAKU,ARGOMULYO,4,R,01/12/2025,203000,1
